id,text
1934580043684131179,@IndiHome min @IndiHome  napa sih lemot mulu dari kmrn
1934579975019180225,"@IndiHome Pantau aja dari pusat, paling balas nya ""Kami pantau normal, mau mimin bantu reset dari pusat?"" Udah bolak balik reset dari pusat / reset router! Tetep aja presist lag / high ping nya #IndiHomebyTelkomsel #indihome #PUBGMOBILE"
1934579810703221227,@IndiHome minnn woii plis buka DM ki
1934579554049487146,"@IndiHome helppp bgt los merah dari tadi udah coba mati nyalain bbrp kali tapi masih merah, plis mau vote svt di mnet ini😭🧎🏻‍♀️🧎🏻‍♀️🧎🏻‍♀️"
1934579550106820913,"@IndiHome pake dong, tpi lelet kak ☺️🫵🏻"
1934579342824345938,gabut bgt admin Indihome 😭🫵🏻 https://t.co/7jaE3PKtsf
1934579262935421205,MANAAAAAA BALES DM AKU SEGERAAAAA @IndiHome @IndiHomeCare
1934579243469709698,"@gldscdn Ada kendala apa nih sama IndiHome-nya, Kak? Sini yuk DM-in detail laporan dan nomor internetnya ke Mimin di akun @IndiHome biar Mimin langsung bantu. -Abdul"
1934579065975156994,"@IndiHome Sudah kak, terimakasih sudah dibantu 🫡"
1934578768301183223,@IndiHome min cek dm
1934578653255590380,"Soal sabar ga usah ditanya, aku pengguna Livin dan Indihome."
1934578651141677082,@IndiHome cek dm ya min
1934578628853178866,"@IndiHome cek DM min, udah 2 bulan buat main #PUBGM ping gak stabil! #IndiHomebyTelkomsel #indihome Di coba gue sendiri yang konek juga lag, ini paket HSI Gamer royalty up ke 40 Mb lho! https://t.co/8VdIQwDgo5"
1934578555817767234,"@putcaylim Maafin Kak, saat ini interaksinya kita pindah ke @IndiHome yuk. DM-in detail laporannya kesini biar Mimin langsung bantu ya 😇. -Abdul"
1934578423701418453,@IndiHome cek dm bisa kali min
1934578235305820646,"@IndiHome kak tolong sinyal masih los merah, detail di dm kak sudah di dm"
1934578145191153759,@IndiHome @clovvher Cek dm min
1934577962797748533,@IndiHome @IndiHomeCare udh dm
1934577746086441330,@IndiHome cek dm buruan min
1934577466988974580,@IndiHome cek dm min tolong secepatnya
1934577339905818829,"indihome knp wifi nya error dari kemaren, kuota ku jadi kepake banyak kan [AK GK BISA NONTON TV JUGA HIH]"
1934577076436447653,"Cek dm skrg juga bro, wifi indihome rumah w dari pagi bermasalah @IndiHomeCare @IndiHome"
1934576790741356546,@IndiHome Jaringan saya bermasalah tolong segera di benerin ya admin
1934576757790941338,"UDH INDIHOME BAPUK, HAPE BAPUK, APP BAPUK (marah besar)"
1934576509471375554,"🐬fresh testimoni data tagihan rumah🐬
---all diskon tagihan 5%
⭐️token listrik 500.000
⭐️tagihan indihome 413.700
⭐️tagihan listrik 714.103
⭐️tagihan listrik 243.465

#zonauang https://t.co/sdHrwFgLns"
1934576099792765371,@IndiHomeCare indihome kenapesihhhh
1934576077709697109,@IndiHome Cek min
1934575407543746825,"@fthzdn_ Kak @fthzdn_, Dya cek belum ada Dm yg masuk nih. Pastikan Dm ke akun @indihome ya.Makasih. -Dya"
1934575255894524390,woy indihome anjeng wifi tu benarkan sikit lah
1934575195093979166,bentar weh indihome busuk
1934575086721466607,@IndiHome cek dm dong min
1934574936833868176,@IndiHome udah di dm tolong laaah masih los ini
1934574320455659571,"@vhytagoras95 @vhytagoras95 Maaf buat kendala sinyalnya Kak :( Yuk infoin nomor HP, nomor IndiHome, atas nama, tanggal waktu kejadian, lokasi detail sama nomor Telkomsel lain yang berkendala ke DM biar dibantuin. Makasih :) -Zidane"
1934573871732343242,"@Telkomsel SUSAH SINYAL 
KUOTA DOANG MAHAL 
INDIHOME JUGA SANA KAGA ADA SINYAL"
1934573226660905346,"@nullyih Enggak dongg Kak, hehe. Btw Kakak pake IndiHome gak nih di rumah?😇 -Abdul"
1934573190359232536,@antiorangdungu @IndiHome aku tangerang kak
1934572998532698266,@IndiHome @IndiHomeCare payah nih.. kirim direct message seharian gak dibaca gak direspon...
1934572744190144675,@cacaraisyana Silakan Kak Caca infoin nomor internet dan nama pemilik ke DM @Indihome untuk penanganannya. -Beeru
1934572642125955354,"@IndiHome Udah min, tapi tetep gabisaaa"
1934572526929338552,sampis bgt internet lu bray. wifi kaga kedetect seharian @IndiHomeCare @IndiHome
1934571933301195025,@ichenanaa @IndiHome Ini daerah mana ya kak? Karena di tempatku tadi juga tiba” LOS merah dan sampe sekarang ga ada tanggapan
1934571929727623330,@IndiHome Jaringan LOSS min gimana atuh
1934571850971120103,@IndiHome halo kak udah di DM ya @IndiHome @IndiHomeCare
1934571273251938450,"@noyusimi Wahhh, streaming-nya pake IndiHome ya Kak, lancar kan koneksinya? -Abdul"
1934571096474570929,@jjalemuel indihome memang selalu bertingkah menyebalkan
1934570492578714015,@IndiHome iyaa kedip merah
1934570334063325511,"@bitabitzy Sebelumnya maaf Kak, kalau Mimin boleh tau lampu modemnya saat ini berkedip merah ga Kak? Yuk DM nomor internetnya ke akun @IndiHome biar bisa dibantu lebih lanjut ya 😇 . -Abdul"
1934570234289205337,@IndiHome Udah
1934570233731350808,indihome knp lagi astagfirullah
1934569953635741989,@IndiHome @IndiHomeCare Iya kak
1934569860211847665,"@Angrha Halo Kak. Maaf ya sebelumnya, Mimin akan segera bantu cek dan solusiin kendalanya. Yuk DM nomor internetnya ke akun @IndiHome, Kak 😇 . -Abdul"
1934569382862356652,"@IndiHome cek dm, ini belum di bales2 juga minta di refresh jaringannya udh 5 jam"
1934567795704074545,@IndiHome halo min...gw instalasi pasang baru dari jam 1530 sd skrg belom ada koneksi koneksi... Buset dah lama banget cuy hadeeh!
1934567750875353356,"@IndiHome ini wifiku mati dari semalem, gada namanya padahal modemnya ga dicabut, tolong dong."
1934567750418284866,jelek deh indihome
1934567374327558258,@IndiHome Kak ezzi gimana ya kelanjutannya ? Help ini mah udah dari semalem
1934567061390598409,Indihome lemot banget elah cape bgt gue
1934566413655789893,"@IndiHome iya lahh.. apalagi selain ituuu :""))).. tolong ka saya dikit lagi deadline skripsian"
1934566199209378178,@rusta_id Untuk penanganannya Kak Suprih bisa kirim nomor internet dan nama pemilik ke DM @Indihome. -Beeru
1934566102765547699,"@harthurt @harthurt Hallo Kak Alpin. Mengenai migrasi paket saat ini bisa Zyad bantu ya, coba infoin dulu yuk nomor IndiHome, atas nama sama relasi, biar dibantu lebih lanjut dan privasi data terjaga. Makasih :) -Zyad"
1934565425020596706,"@fleurcheriesun kocak ihh Indihome, lgi pms ya 😭😭"
1934565363930587512,"@IndiHome min,bisa ganti paket gak?"
1934565238202130772,@IndiHome help ini kenapa wifi ku bgilang dari kemarin wehhh
1934564859385098612,@canissss___ Agar kendala jaringannya bisa dilakukan penanganan silakan kirim nama pemilik dan nomor internet ke DM @Indihome ya. -Beeru
1934564198866108859,@IndiHome tolong dong buka dm min
1934563965981630684,"@valaphrodite Ya seenggaknya engga keluar duit lebih buat nonton di bioskop. Hhhh. 

Hidup Indihome! 👀"
1934563855939899772,"@MssGreenn Sebagai solusi awal pastiin kabel patchcord modemnya terpasang dengan benar dan kencang ya, Kak. Kalau masih kendala, segera infoin nomor internetnya ke DM @IndiHome supaya bisa dibantu lebih lanjut.😊 -Abdul"
1934563001006481474,@IndiHome Pengennya sih sinyal WiFi yang stabil! Tapi nyatanya malah ngelos. Gimana nih min
1934562581005636028,"@SuriyaRizka @IndiHomeCare Halo Kak, Mimin akan segera bantu. Sebelumnya maaf kalau boleh tau, lampu modemnya saat ini berkedip merah ga Kak? Yuk DM nomor internetnya ke akun @IndiHome, Kak 😇 . -Abdul"
1934562187936456964,"@utii07 Laporannya via apa nih, Kak? Maaf ya sebelumnya, sini yuk ceritain ke Mimin di DM @IndiHome dan infoin juga nomor internetnya biar bisa dicek dan dibantu lebih lanjut ya Kak. -Abdul"
1934562014313189380,"Di balik WiFi lancar

https://t.co/jE99MoKDqR
https://t.co/zXfVTXZ8vp
https://t.co/hAWNdkCiTN
https://t.co/UVWnYMxfvg
https://t.co/EbdA44fx2j
https://t.co/PRrM0t6ZpV
https://t.co/5Jo6SkIhsD
https://t.co/x7LitZ4iaP
https://t.co/iPJfCxfco5

#TeknisiWifi #TopologiJaringan #Internet"
